Øvej 2, 3550 Slangerup;3550;Slangerup;https://dawa.aws.dk/adgangsadresser/0a3f5080-c7c0-32b8-e044-0003ba298018;0a3f5080-c7c0-32b8-e044-0003ba298018
Sabrovej 2, 8471 Sabro;8471;Sabro;https://dawa.aws.dk/adgangsadresser/0a3f5096-cb1e-32b8-e044-0003ba298018;0a3f5096-cb1e-32b8-e044-0003ba298018
Nyby Klitvej 10, Rindby Strand, 6720 Fanø;6720;Fanø;https://dawa.aws.dk/adresser/0a3f50b9-723b-32b8-e044-0003ba298018;0a3f50b9-723b-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
Zachariasvænget 2, Hjallese, 5260 Odense S;5260;Odense S;https://dawa.aws.dk/adgangsadresser/0a3f5089-ee14-32b8-e044-0003ba298018;0a3f5089-ee14-32b8-e044-0003ba298018
Sæddervej 1, 4682 Tureby;4682;Tureby;https://dawa.aws.dk/adgangsadresser/0a3f5081-aeb8-32b8-e044-0003ba298018;0a3f5081-aeb8-32b8-e044-0003ba298018
Lien 5, Tved, 6000 Kolding;6000;Kolding;https://dawa.aws.dk/adgangsadresser/0a3f5090-3fca-32b8-e044-0003ba298018;0a3f5090-3fca-32b8-e044-0003ba298018
Balran 1, Allinge, 3770 Allinge;3770;Allinge;https://dawa.aws.dk/adgangsadresser/0a3f5087-5446-32b8-e044-0003ba298018;0a3f5087-5446-32b8-e044-0003ba298018
Idyl 10, Tved, 6000 Kolding;6000;Kolding;https://dawa.aws.dk/adresser/0a3f50bc-0bad-32b8-e044-0003ba298018;0a3f50bc-0bad-32b8-e044-0003ba298018
Pi 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e5e5-32b8-e044-0003ba298018;0a3f5093-e5e5-32b8-e044-0003ba298018
Tæbyvej 2A, 2610 Rødovre;2610;Rødovre;https://dawa.aws.dk/adgangsadresser/0a3f507d-9933-32b8-e044-0003ba298018;0a3f507d-9933-32b8-e044-0003ba298018
Wais 1, Stubbæk, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508c-fbff-32b8-e044-0003ba298018;0a3f508c-fbff-32b8-e044-0003ba298018
Maitoft 1, Vester Sottrup, 6400 Sønderborg;6400;Sønderborg;https://dawa.aws.dk/adgangsadresser/0a3f508c-4f4c-32b8-e044-0003ba298018;0a3f508c-4f4c-32b8-e044-0003ba298018
Novo Alle 1, 2880 Bagsværd;2880;Bagsværd;https://dawa.aws.dk/adresser/53bd3c9a-eebf-4572-a711-6575e942333c;53bd3c9a-eebf-4572-a711-6575e942333c
Ojbakvej 1, Vorupør, 7700 Thisted;7700;Thisted;https://dawa.aws.dk/adgangsadresser/0a3f5098-9268-32b8-e044-0003ba298018;0a3f5098-9268-32b8-e044-0003ba298018
Civagårdsvej 1, 9330 Dronninglund;9330;Dronninglund;https://dawa.aws.dk/adgangsadresser/0a3f5099-62fc-32b8-e044-0003ba298018;0a3f5099-62fc-32b8-e044-0003ba298018
Obbehusvej 2, Vollerup, 6392 Bolderslev;6392;Bolderslev;https://dawa.aws.dk/adgangsadresser/0a3f508c-9993-32b8-e044-0003ba298018;0a3f508c-9993-32b8-e044-0003ba298018
Rue 3, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-349d-32b8-e044-0003ba298018;0a3f508a-349d-32b8-e044-0003ba298018
Fuchsiastien 1, 3460 Birkerød;3460;Birkerød;https://dawa.aws.dk/adgangsadresser/4a82ef1a-4caa-4729-924b-0af40cd5f089;4a82ef1a-4caa-4729-924b-0af40cd5f089
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
M Kabels Vej 3, Lønstrup, 9800 Hjørring;9800;Hjørring;https://dawa.aws.dk/adgangsadresser/0a3f509a-8652-32b8-e044-0003ba298018;0a3f509a-8652-32b8-e044-0003ba298018
Råghøj 6, Rakkeby, 7960 Karby;7960;Karby;https://dawa.aws.dk/adgangsadresser/0a3f5097-ca39-32b8-e044-0003ba298018;0a3f5097-ca39-32b8-e044-0003ba298018
Æbelholt 1, 3400 Hillerød;3400;Hillerød;https://dawa.aws.dk/adgangsadresser/0a3f5080-22ea-32b8-e044-0003ba298018;0a3f5080-22ea-32b8-e044-0003ba298018
Siø 2, Siø, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-cfd7-32b8-e044-0003ba298018;0a3f508a-cfd7-32b8-e044-0003ba298018
Åkæret 1, 6971 Spjald;6971;Spjald;https://dawa.aws.dk/adgangsadresser/0a3f5092-ec06-32b8-e044-0003ba298018;0a3f5092-ec06-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
Vietoften 3, Trørød, 2950 Vedbæk;2950;Vedbæk;https://dawa.aws.dk/adresser/0a3f50a7-015d-32b8-e044-0003ba298018;0a3f50a7-015d-32b8-e044-0003ba298018
Vigø 1, 5642 Millinge;5642;Millinge;https://dawa.aws.dk/adresser/0a3f50b2-bf6a-32b8-e044-0003ba298018;0a3f50b2-bf6a-32b8-e044-0003ba298018
Jacobsvej 3, Kaldred, 4593 Eskebjerg;4593;Eskebjerg;https://dawa.aws.dk/adgangsadresser/0a3f5082-7f89-32b8-e044-0003ba298018;0a3f5082-7f89-32b8-e044-0003ba298018
Lien 5, Tved, 6000 Kolding;6000;Kolding;https://dawa.aws.dk/adgangsadresser/0a3f5090-3fca-32b8-e044-0003ba298018;0a3f5090-3fca-32b8-e044-0003ba298018
H.C.Vej 4, Venslev, 4050 Skibby;4050;Skibby;https://dawa.aws.dk/adgangsadresser/0a3f5080-9f92-32b8-e044-0003ba298018;0a3f5080-9f92-32b8-e044-0003ba298018
Vejlø 1, 4900 Nakskov;4900;Nakskov;https://dawa.aws.dk/adgangsadresser/0a3f5086-7f10-32b8-e044-0003ba298018;0a3f5086-7f10-32b8-e044-0003ba298018
Sutskoen 1, 6893 Hemmet;6893;Hemmet;https://dawa.aws.dk/adgangsadresser/0a3f5091-31c5-32b8-e044-0003ba298018;0a3f5091-31c5-32b8-e044-0003ba298018
Foet 2, Stolbro, 6430 Nordborg;6430;Nordborg;https://dawa.aws.dk/adresser/0a3f50b7-1187-32b8-e044-0003ba298018;0a3f50b7-1187-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
Hvælvingen 1, 4581 Rørvig;4581;Rørvig;https://dawa.aws.dk/adgangsadresser/0a3f5083-d551-32b8-e044-0003ba298018;0a3f5083-d551-32b8-e044-0003ba298018
Borgvej 1, Asp, 7600 Struer;7600;Struer;https://dawa.aws.dk/adresser/0a3f50be-cd25-32b8-e044-0003ba298018;0a3f50be-cd25-32b8-e044-0003ba298018
Cypres Alle 1, 2770 Kastrup;2770;Kastrup;https://dawa.aws.dk/adgangsadresser/0a3f507d-e5d9-32b8-e044-0003ba298018;0a3f507d-e5d9-32b8-e044-0003ba298018
Lebølvej 1, Holballe, 6470 Sydals;6470;Sydals;https://dawa.aws.dk/adgangsadresser/0a3f508c-59f3-32b8-e044-0003ba298018;0a3f508c-59f3-32b8-e044-0003ba298018
Aahaven 10, 7400 Herning;7400;Herning;https://dawa.aws.dk/adresser/1371f60a-a4ab-4570-b957-e8eec4900a97;1371f60a-a4ab-4570-b957-e8eec4900a97
Sædinge By 1, 4970 Rødby;4970;Rødby;https://dawa.aws.dk/adgangsadresser/0a3f5086-a0b3-32b8-e044-0003ba298018;0a3f5086-a0b3-32b8-e044-0003ba298018
Agdrupvej 2, 9700 Brønderslev;9700;Brønderslev;https://dawa.aws.dk/adgangsadresser/36174b57-4cc2-467c-b0db-2d88cd83483a;36174b57-4cc2-467c-b0db-2d88cd83483a
Dæmpegårdsvej 1A, Kirkelte, 3450 Allerød;3450;Allerød;https://dawa.aws.dk/adgangsadresser/0a3f5080-86a0-32b8-e044-0003ba298018;0a3f5080-86a0-32b8-e044-0003ba298018
Øen 60, Marbæk, 6710 Esbjerg V;6710;Esbjerg V;https://dawa.aws.dk/adresser/255f16fe-b9e4-4427-a13b-8176c68c506f;255f16fe-b9e4-4427-a13b-8176c68c506f
Pøl 10, 6470 Sydals;6470;Sydals;https://dawa.aws.dk/adresser/77164f54-b553-42d6-a9cc-b70def4691d8;77164f54-b553-42d6-a9cc-b70def4691d8
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
Kile 7, 5471 Søndersø;5471;Søndersø;https://dawa.aws.dk/adgangsadresser/0a3f508a-ac0f-32b8-e044-0003ba298018;0a3f508a-ac0f-32b8-e044-0003ba298018
Carl Blochs Alle 5, st. tv, 2860 Søborg;2860;Søborg;https://dawa.aws.dk/adresser/0a3f50a4-394e-32b8-e044-0003ba298018;0a3f50a4-394e-32b8-e044-0003ba298018
Sahara 1, Sorthat-Muleby, 3700 Rønne;3700;Rønne;https://dawa.aws.dk/adgangsadresser/0a3f5087-95d8-32b8-e044-0003ba298018;0a3f5087-95d8-32b8-e044-0003ba298018
Obbehusvej 2, Vollerup, 6392 Bolderslev;6392;Bolderslev;https://dawa.aws.dk/adgangsadresser/0a3f508c-9993-32b8-e044-0003ba298018;0a3f508c-9993-32b8-e044-0003ba298018
Udgården 2, Lading, 8471 Sabro;8471;Sabro;https://dawa.aws.dk/adgangsadresser/0a3f5093-d739-32b8-e044-0003ba298018;0a3f5093-d739-32b8-e044-0003ba298018
Fafnersgade 1, 2200 København N;2200;København N;https://dawa.aws.dk/adgangsadresser/0a3f507a-6a9f-32b8-e044-0003ba298018;0a3f507a-6a9f-32b8-e044-0003ba298018
Granvej 10, Rågeleje, 3210 Vejby;3210;Vejby;https://dawa.aws.dk/adresser/0a3f50a8-bb1d-32b8-e044-0003ba298018;0a3f50a8-bb1d-32b8-e044-0003ba298018
Øbrovej 1, Assentorp, 4295 Stenlille;4295;Stenlille;https://dawa.aws.dk/adgangsadresser/0a3f5084-9c6e-32b8-e044-0003ba298018;0a3f5084-9c6e-32b8-e044-0003ba298018
Victoriagade 1, 5000 Odense C;5000;Odense C;https://dawa.aws.dk/adgangsadresser/0a3f5089-e57c-32b8-e044-0003ba298018;0a3f5089-e57c-32b8-e044-0003ba298018
Dårbakvej 1, 9740 Jerslev J;9740;Jerslev J;https://dawa.aws.dk/adgangsadresser/9b7dc575-c6ce-48a2-8352-9cbf0c4b3854;9b7dc575-c6ce-48a2-8352-9cbf0c4b3854
Jarlsvej 10, 3650 Ølstykke;3650;Ølstykke;https://dawa.aws.dk/adresser/0a3f50aa-b945-32b8-e044-0003ba298018;0a3f50aa-b945-32b8-e044-0003ba298018
Pebbelparken 1, Stjær, 8464 Galten;8464;Galten;https://dawa.aws.dk/adgangsadresser/0a3f5093-6e27-32b8-e044-0003ba298018;0a3f5093-6e27-32b8-e044-0003ba298018
Takshaven 1, 3450 Allerød;3450;Allerød;https://dawa.aws.dk/adgangsadresser/0a3f507e-5f1c-32b8-e044-0003ba298018;0a3f507e-5f1c-32b8-e044-0003ba298018
Pi 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e5e5-32b8-e044-0003ba298018;0a3f5093-e5e5-32b8-e044-0003ba298018
Dådyrvænget 3, 5400 Bogense;5400;Bogense;https://dawa.aws.dk/adgangsadresser/0a3f5087-d3fd-32b8-e044-0003ba298018;0a3f5087-d3fd-32b8-e044-0003ba298018
Siø 2, Siø, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-cfd7-32b8-e044-0003ba298018;0a3f508a-cfd7-32b8-e044-0003ba298018
Alfa 1, 6893 Hemmet;6893;Hemmet;https://dawa.aws.dk/adgangsadresser/0a3f5091-2fa7-32b8-e044-0003ba298018;0a3f5091-2fa7-32b8-e044-0003ba298018
Bæk Bygade 5, Bæk, 6500 Vojens;6500;Vojens;https://dawa.aws.dk/adgangsadresser/0a3f508c-bac1-32b8-e044-0003ba298018;0a3f508c-bac1-32b8-e044-0003ba298018
Impalavej 1, Ejby, 4623 Lille Skensved;4623;Lille Skensved;https://dawa.aws.dk/adgangsadresser/0a3f5082-2f10-32b8-e044-0003ba298018;0a3f5082-2f10-32b8-e044-0003ba298018
Niærvej 6, Haurum, 8450 Hammel;8450;Hammel;https://dawa.aws.dk/adgangsadresser/0a3f5093-d10b-32b8-e044-0003ba298018;0a3f5093-d10b-32b8-e044-0003ba298018
Vålse Vesterskovvej 1A, Vålse, 4840 Nørre Alslev;4840;Nørre Alslev;https://dawa.aws.dk/adgangsadresser/0a3f5086-6030-32b8-e044-0003ba298018;0a3f5086-6030-32b8-e044-0003ba298018
Tved 100, 6270 Tønder;6270;Tønder;https://dawa.aws.dk/adresser/bd50aa23-0e6a-4fcf-9043-d12a3b281901;bd50aa23-0e6a-4fcf-9043-d12a3b281901
Ryet 2, Helnæs, 5631 Ebberup;5631;Ebberup;https://dawa.aws.dk/adgangsadresser/0a3f5087-ca97-32b8-e044-0003ba298018;0a3f5087-ca97-32b8-e044-0003ba298018
Olgasvej 1, 2970 Hørsholm;2970;Hørsholm;https://dawa.aws.dk/adgangsadresser/0a3f5080-519b-32b8-e044-0003ba298018;0a3f5080-519b-32b8-e044-0003ba298018
Kølle Alle 5, 4894 Øster Ulslev;4894;Øster Ulslev;https://dawa.aws.dk/adgangsadresser/0a3f5085-efdf-32b8-e044-0003ba298018;0a3f5085-efdf-32b8-e044-0003ba298018
Ørby Gade 5, Ørby, 3200 Helsinge;3200;Helsinge;https://dawa.aws.dk/adgangsadresser/0a3f507f-9282-32b8-e044-0003ba298018;0a3f507f-9282-32b8-e044-0003ba298018
Siø 2, Siø, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-cfd7-32b8-e044-0003ba298018;0a3f508a-cfd7-32b8-e044-0003ba298018
Rebæk Alle 1, 2650 Hvidovre;2650;Hvidovre;https://dawa.aws.dk/adgangsadresser/0a3f507c-dc05-32b8-e044-0003ba298018;0a3f507c-dc05-32b8-e044-0003ba298018
Ålykke 1, 9000 Aalborg;9000;Aalborg;https://dawa.aws.dk/adgangsadresser/5ba710e3-e5a8-5980-e044-0003ba298018;5ba710e3-e5a8-5980-e044-0003ba298018
Frøkær 2, Ganløse, 3660 Stenløse;3660;Stenløse;https://dawa.aws.dk/adgangsadresser/0a3f5080-ce63-32b8-e044-0003ba298018;0a3f5080-ce63-32b8-e044-0003ba298018
Uldalsvej 1, 9400 Nørresundby;9400;Nørresundby;https://dawa.aws.dk/adgangsadresser/0a3f509c-d734-32b8-e044-0003ba298018;0a3f509c-d734-32b8-e044-0003ba298018
Pladehals Allé 1, 2450 København SV;2450;København SV;https://dawa.aws.dk/adgangsadresser/2ffd3ca6-0b11-41c4-b3b6-35c41b8649ea;2ffd3ca6-0b11-41c4-b3b6-35c41b8649ea
Vægten 1, 3650 Ølstykke;3650;Ølstykke;https://dawa.aws.dk/adgangsadresser/0a3f5080-f96c-32b8-e044-0003ba298018;0a3f5080-f96c-32b8-e044-0003ba298018
Wais 1, Stubbæk, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508c-fbff-32b8-e044-0003ba298018;0a3f508c-fbff-32b8-e044-0003ba298018
Flægmosevej 1, Svanninge, 5600 Faaborg;5600;Faaborg;https://dawa.aws.dk/adgangsadresser/0a3f5088-1a4c-32b8-e044-0003ba298018;0a3f5088-1a4c-32b8-e044-0003ba298018
Asbo 4, As, 7130 Juelsminde;7130;Juelsminde;https://dawa.aws.dk/adgangsadresser/0a3f508f-e684-32b8-e044-0003ba298018;0a3f508f-e684-32b8-e044-0003ba298018
Afskæringen 1, Højerup, 4660 Store Heddinge;4660;Store Heddinge;https://dawa.aws.dk/adgangsadresser/0a3f5086-c3cb-32b8-e044-0003ba298018;0a3f5086-c3cb-32b8-e044-0003ba298018
Rue 3, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-349d-32b8-e044-0003ba298018;0a3f508a-349d-32b8-e044-0003ba298018
Ærøvej 1, 4200 Slagelse;4200;Slagelse;https://dawa.aws.dk/adgangsadresser/0a3f5084-74e0-32b8-e044-0003ba298018;0a3f5084-74e0-32b8-e044-0003ba298018
Eddagården 1, 2200 København N;2200;København N;https://dawa.aws.dk/adgangsadresser/0a3f507a-6078-32b8-e044-0003ba298018;0a3f507a-6078-32b8-e044-0003ba298018
Urlevvej 1, Bråskov, 8783 Hornsyld;8783;Hornsyld;https://dawa.aws.dk/adgangsadresser/0a3f5090-096c-32b8-e044-0003ba298018;0a3f5090-096c-32b8-e044-0003ba298018
Siø 2, Siø, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-cfd7-32b8-e044-0003ba298018;0a3f508a-cfd7-32b8-e044-0003ba298018
Hækken 3, Næsby Strand, 4200 Slagelse;4200;Slagelse;https://dawa.aws.dk/adgangsadresser/0a3f5084-4faf-32b8-e044-0003ba298018;0a3f5084-4faf-32b8-e044-0003ba298018
Abelonelunden 1, 5500 Middelfart;5500;Middelfart;https://dawa.aws.dk/adresser/3856ac91-d8d9-4acf-aacc-f505abc3c6b8;3856ac91-d8d9-4acf-aacc-f505abc3c6b8
Rs Hansensvej 1, 4520 Svinninge;4520;Svinninge;https://dawa.aws.dk/adgangsadresser/0a3f5084-a0a5-32b8-e044-0003ba298018;0a3f5084-a0a5-32b8-e044-0003ba298018
Aaspe 1, 6261 Bredebro;6261;Bredebro;https://dawa.aws.dk/adgangsadresser/0a3f508b-3e1c-32b8-e044-0003ba298018;0a3f508b-3e1c-32b8-e044-0003ba298018
Zarpegårdsvej 1, 4671 Strøby;4671;Strøby;https://dawa.aws.dk/adgangsadresser/0a3f5082-7412-32b8-e044-0003ba298018;0a3f5082-7412-32b8-e044-0003ba298018
Oenshøj 1, 8700 Horsens;8700;Horsens;https://dawa.aws.dk/adgangsadresser/11db2423-4b34-5796-e044-0003ba298018;11db2423-4b34-5796-e044-0003ba298018
Vasen 1, Lendemarke, 4780 Stege;4780;Stege;https://dawa.aws.dk/adgangsadresser/0a3f5085-a1bc-32b8-e044-0003ba298018;0a3f5085-a1bc-32b8-e044-0003ba298018
Æ-Drøwt 1, Vridsted, 7800 Skive;7800;Skive;https://dawa.aws.dk/adgangsadresser/0a3f5097-5dcb-32b8-e044-0003ba298018;0a3f5097-5dcb-32b8-e044-0003ba298018
Jægeralle 3, 3600 Frederikssund;3600;Frederikssund;https://dawa.aws.dk/adgangsadresser/0a3f507e-ccec-32b8-e044-0003ba298018;0a3f507e-ccec-32b8-e044-0003ba298018
H.C.Vej 4, Venslev, 4050 Skibby;4050;Skibby;https://dawa.aws.dk/adgangsadresser/0a3f5080-9f92-32b8-e044-0003ba298018;0a3f5080-9f92-32b8-e044-0003ba298018
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
Zahlesvej 1, 4100 Ringsted;4100;Ringsted;https://dawa.aws.dk/adgangsadresser/a26cca75-1dab-42cb-bcca-5be6d4afaf3b;a26cca75-1dab-42cb-bcca-5be6d4afaf3b
Ceylonvej 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0a3f507a-579a-32b8-e044-0003ba298018;0a3f507a-579a-32b8-e044-0003ba298018
Gymosevej 4T, 6100 Haderslev;6100;Haderslev;https://dawa.aws.dk/adgangsadresser/196ea1c9-875e-4866-9b7a-832c9483edd4;196ea1c9-875e-4866-9b7a-832c9483edd4
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
P-Vej 2, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0a3f507a-ddfb-32b8-e044-0003ba298018;0a3f507a-ddfb-32b8-e044-0003ba298018
Maitoft 1, Vester Sottrup, 6400 Sønderborg;6400;Sønderborg;https://dawa.aws.dk/adgangsadresser/0a3f508c-4f4c-32b8-e044-0003ba298018;0a3f508c-4f4c-32b8-e044-0003ba298018
Søen 3, 2690 Karlslunde;2690;Karlslunde;https://dawa.aws.dk/adgangsadresser/0a3f5081-4b48-32b8-e044-0003ba298018;0a3f5081-4b48-32b8-e044-0003ba298018
Gnaverhaven 1, 4873 Væggerløse;4873;Væggerløse;https://dawa.aws.dk/adgangsadresser/0a3f5087-067d-32b8-e044-0003ba298018;0a3f5087-067d-32b8-e044-0003ba298018
Aarø 2, 6100 Haderslev;6100;Haderslev;https://dawa.aws.dk/adgangsadresser/0a3f508b-820c-32b8-e044-0003ba298018;0a3f508b-820c-32b8-e044-0003ba298018
Forten 1, Lisbjerg, 8200 Aarhus N;8200;Aarhus N;https://dawa.aws.dk/adgangsadresser/0a3f5096-2524-32b8-e044-0003ba298018;0a3f5096-2524-32b8-e044-0003ba298018
Mjøn 1, Skovby, 8464 Galten;8464;Galten;https://dawa.aws.dk/adgangsadresser/0a3f5093-6cab-32b8-e044-0003ba298018;0a3f5093-6cab-32b8-e044-0003ba298018
Malhøj 1, Sindbjerg, 7970 Redsted M;7970;Redsted M;https://dawa.aws.dk/adgangsadresser/0a3f5097-bf94-32b8-e044-0003ba298018;0a3f5097-bf94-32b8-e044-0003ba298018
Bymøllevænget 1, 5610 Assens;5610;Assens;https://dawa.aws.dk/adgangsadresser/0a3f5087-bd68-32b8-e044-0003ba298018;0a3f5087-bd68-32b8-e044-0003ba298018
Ebbedal 7, 3300 Frederiksværk;3300;Frederiksværk;https://dawa.aws.dk/adgangsadresser/0a3f507e-e7b5-32b8-e044-0003ba298018;0a3f507e-e7b5-32b8-e044-0003ba298018
Lakolk 10, Lakolk, 6792 Rømø;6792;Rømø;https://dawa.aws.dk/adresser/0a3f50b7-6d91-32b8-e044-0003ba298018;0a3f50b7-6d91-32b8-e044-0003ba298018
Åbølvej 5, Burkal Mark, 6372 Bylderup-Bov;6372;Bylderup-Bov;https://dawa.aws.dk/adgangsadresser/0a3f508c-a1b9-32b8-e044-0003ba298018;0a3f508c-a1b9-32b8-e044-0003ba298018
Minørvej 1, 1439 København K;1439;København K;https://dawa.aws.dk/adgangsadresser/5ddb979d-c13b-40d3-e044-0003ba298018;5ddb979d-c13b-40d3-e044-0003ba298018
Bøgen 2, Svogerslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adgangsadresser/0a3f5081-e116-32b8-e044-0003ba298018;0a3f5081-e116-32b8-e044-0003ba298018
Jydby 4, 5450 Otterup;5450;Otterup;https://dawa.aws.dk/adgangsadresser/0a3f508a-01d3-32b8-e044-0003ba298018;0a3f508a-01d3-32b8-e044-0003ba298018
Eegsvej 2, Agtrup, 6091 Bjert;6091;Bjert;https://dawa.aws.dk/adgangsadresser/22729a66-9082-44d0-e044-0003ba298018;22729a66-9082-44d0-e044-0003ba298018
Såderupvej 1, 5540 Ullerslev;5540;Ullerslev;https://dawa.aws.dk/adgangsadresser/0a3f508a-db9b-32b8-e044-0003ba298018;0a3f508a-db9b-32b8-e044-0003ba298018
Sigbakken 1, Lyngså, 9300 Sæby;9300;Sæby;https://dawa.aws.dk/adgangsadresser/0a3f509b-ef57-32b8-e044-0003ba298018;0a3f509b-ef57-32b8-e044-0003ba298018
Uggeløse Skovvej 1, 3540 Lynge;3540;Lynge;https://dawa.aws.dk/adgangsadresser/0a3f507e-60a0-32b8-e044-0003ba298018;0a3f507e-60a0-32b8-e044-0003ba298018
Rue 3, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-349d-32b8-e044-0003ba298018;0a3f508a-349d-32b8-e044-0003ba298018
Christian 10 Gade;;;https://dawa.aws.dk/vejnavne/Christian%2010%20Gade;
Egen 3, Svogerslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adgangsadresser/0a3f5081-e514-32b8-e044-0003ba298018;0a3f5081-e514-32b8-e044-0003ba298018
Thaarupsvej 1, 9970 Strandby;9970;Strandby;https://dawa.aws.dk/adgangsadresser/0a3f5099-e969-32b8-e044-0003ba298018;0a3f5099-e969-32b8-e044-0003ba298018
H C Gads Vej 3, 9300 Sæby;9300;Sæby;https://dawa.aws.dk/adgangsadresser/0a3f509b-de3c-32b8-e044-0003ba298018;0a3f509b-de3c-32b8-e044-0003ba298018
H C Gads Vej 2, 9300 Sæby;9300;Sæby;https://dawa.aws.dk/adgangsadresser/0a3f509b-de3b-32b8-e044-0003ba298018;0a3f509b-de3b-32b8-e044-0003ba298018
Åblik 4, As, 7130 Juelsminde;7130;Juelsminde;https://dawa.aws.dk/adresser/7686c94a-1cbc-07bb-e044-00144f3ead67;7686c94a-1cbc-07bb-e044-00144f3ead67
Mårhøj 2, 8751 Gedved;8751;Gedved;https://dawa.aws.dk/adgangsadresser/0a3f508f-4190-32b8-e044-0003ba298018;0a3f508f-4190-32b8-e044-0003ba298018
Egehøj 1, Jordhøj, 3550 Slangerup;3550;Slangerup;https://dawa.aws.dk/adgangsadresser/0a3f5080-bb3d-32b8-e044-0003ba298018;0a3f5080-bb3d-32b8-e044-0003ba298018
Vådager 1, 4070 Kirke Hyllinge;4070;Kirke Hyllinge;https://dawa.aws.dk/adgangsadresser/4ca54b0f-2f37-0052-e044-0003ba298018;4ca54b0f-2f37-0052-e044-0003ba298018
Zeta 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adresser/3cb0a0c6-39c8-0e4a-e044-0003ba298018;3cb0a0c6-39c8-0e4a-e044-0003ba298018
Egedal 1, 8700 Horsens;8700;Horsens;https://dawa.aws.dk/adgangsadresser/45afd574-ee04-4cb7-adcc-a584dae3ea50;45afd574-ee04-4cb7-adcc-a584dae3ea50
Wais 1, Stubbæk, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508c-fbff-32b8-e044-0003ba298018;0a3f508c-fbff-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
Mælkevej 3, 4220 Korsør;4220;Korsør;https://dawa.aws.dk/adgangsadresser/7096f618-64a7-5ed1-e044-00144f3ead67;7096f618-64a7-5ed1-e044-00144f3ead67
Æ-Drøwt 1, Vridsted, 7800 Skive;7800;Skive;https://dawa.aws.dk/adgangsadresser/0a3f5097-5dcb-32b8-e044-0003ba298018;0a3f5097-5dcb-32b8-e044-0003ba298018
M-Vej 2, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0a3f507a-c63d-32b8-e044-0003ba298018;0a3f507a-c63d-32b8-e044-0003ba298018
Egen 4, Svogerslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adgangsadresser/0a3f5081-e515-32b8-e044-0003ba298018;0a3f5081-e515-32b8-e044-0003ba298018
